Item Number[0],Item Name[1], Transaction number[2], Date Sold[3], Profit[4]
105,Watermelon,TX00001,2024-11-22,$0.15
108,Blueberry,TX00001,2024-11-22,$0.15
104,Cherry,TX00001,2024-11-22,$0.15
104,Cherry,TX00001,2024-11-22,$0.15
104,Cherry,TX00001,2024-11-22,$0.15
104,Cherry,TX00001,2024-11-22,$0.15
104,Cherry,TX00001,2024-11-22,$0.15
104,Cherry,TX00001,2024-11-22,$0.15
104,Cherry,TX00001,2024-11-22,$0.15
107,Grapes,TX00001,2024-11-22,$0.15
107,Grapes,TX00001,2024-11-22,$0.15
107,Grapes,TX00001,2024-11-22,$0.15
107,Grapes,TX00001,2024-11-22,$0.15
107,Grapes,TX00001,2024-11-22,$0.15
